"TEMA","SUBTEMA","VARIABLE","CLASE","Fuente","AÑO","Mes","Valor"
"Prestadores de Servicios Turísticos - PST","Establecimiento de alojamiento y hospedaje","Camas","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","37666"
"Prestadores de Servicios Turísticos - PST","Hotel","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","546"
"Prestadores de Servicios Turísticos - PST","Hotel","Habitaciones","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","21350"
"Prestadores de Servicios Turísticos - PST","Hotel","Camas","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","31012"
"Prestadores de Servicios Turísticos - PST","Establecimiento de gastronomia y similares","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","440"
"Prestadores de Servicios Turísticos - PST","Guia de turismo","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","150"
"Prestadores de Servicios Turísticos - PST","Oficina de representacion turistica","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","134"
"Prestadores de Servicios Turísticos - PST","Operadores profesionales de congresos, ferias y convenciones","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","178"
"Prestadores de Servicios Turísticos - PST","Parques temáticos","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","3"
"Airbnb & Homeaway","Barrios Unidos","Promedio mensual de propiedades","","","2015","","12.125"
"Airbnb & Homeaway","Bosa","Promedio mensual de propiedades","","","2015","","1"
"Airbnb & Homeaway","Candelaria","Promedio mensual de propiedades","","","2015","","37.125"
"Airbnb & Homeaway","Chapinero","Promedio mensual de propiedades","","","2015","","232.5"
"Airbnb & Homeaway","Engativá","Promedio mensual de propiedades","","","2015","","10.625"
"Airbnb & Homeaway","Fontibón","Promedio mensual de propiedades","","","2015","","20.5"
"Airbnb & Homeaway","Kennedy","Promedio mensual de propiedades","","","2015","","5.875"
"Airbnb & Homeaway","Los Martires","Promedio mensual de propiedades","","","2015","","1.4"
"Airbnb & Homeaway","Puente Aranda","Promedio mensual de propiedades","","","2015","","1.75"
"Airbnb & Homeaway","Rafael Uribe Uribe","Promedio mensual de propiedades","","","2015","","1"
"Airbnb & Homeaway","San Cristobal","Promedio mensual de propiedades","","","2015","","1"
"Airbnb & Homeaway","Santa Fe","Promedio mensual de propiedades","","","2015","","60.875"
"Airbnb & Homeaway","Suba","Promedio mensual de propiedades","","","2015","","48.125"
"Airbnb & Homeaway","Teusaquillo","Promedio mensual de propiedades","","","2015","","43.375"
"Airbnb & Homeaway","Usaquén","Promedio mensual de propiedades","","","2015","","93.5"
"Airbnb & Homeaway","Usme","Promedio mensual de propiedades","","","2015","","1"
"Tasa de ocupación Hotelera","Total anual","Porcentaje","","Asociación Hotelera y Tuística de Colombia- COTELCO, Sistema de Información Turística- SIH","2015","","57.4%"
"Tasa de ocupación Airbnb","Total anual","Porcentaje","","","2015","","41.2%"
"Generación de empleo turismo","Empleo Turismo Bogotá","Total","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2015","","277004.66666667"
"Generación de empleo turismo","Sectores directos","Agencias de viaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2015","","10899.833333333"
"Generación de empleo turismo","Sectores directos","Alojamiento y hospedaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2015","","17110.666666667"
"Generación de empleo turismo","Sectores conexos","Alimentos y bebidas","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2015","","160791.83333333"
"Generación de empleo turismo","Sectores conexos","Esparcimiento","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2015","","2434.5833333333"
"Generación de empleo turismo","Sectores conexos","Transporte aéreo","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2015","","10120.583333333"
"Generación de empleo turismo","Sectores conexos","Transporte terrestre","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2015","","75647.166666667"
"Generación de empleo turismo","Participación % ","Porcentaje","Empleo Turismo/ Turismo Bogota","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020","2015","","6.6%"
"Conectividad directa internacional","Ciudades","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2015","","43"
"Conectividad directa internacional","Aerolíneas","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2015","","30"
"Conectividad directa internacional","Vuelos","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2015","","3305"
"Conectividad directa internacional","Sillas","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2015","","477287"
"Conectividad directa internacional","Pasajeros","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2015","","4572010"
"Índice de Presión Turística","índice","índice","índice","Observatorio de Turismo","2015","","1.1"
"PIB","Participación % ","Porcentaje","Subsector: Alojamiento y servicio de comida/ PIB Bogotá","Departamento Administrativo Nacional de Estadística- DANE, Cuentas Nacionales","2015","","2.8%"
"PIB","Participación % ","Porcentaje","Sector: Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogotá","Departamento Administrativo Nacional de Estadística- DANE, Cuentas Nacionales","2015","","19.3%"
"Informacion Destacada del turismo internacional","Mundo Entero","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2015","","1186"
"Informacion Destacada del turismo internacional","Mundo Entero","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Trillones de Dólares ","International Tourism Highlights (2012-2019)","2015","","1.5"
"Informacion Destacada del turismo internacional","Mundo Entero","Transporte Internacional de Pasajeros","Millones de Personas","International Tourism Highlights (2012-2019)","2015","","211"
"Informacion Destacada del turismo internacional","Mundo Entero","Ingresos por turismo internacional","Billones de Dólares ","International Tourism Highlights (2012-2019)","2015","","1260"
"Informacion Destacada del turismo internacional","Europa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2015","","608"
"Informacion Destacada del turismo internacional","Americas","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2015","","193"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2015","","279"
"Informacion Destacada del turismo internacional","Africa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2015","","53"
"Informacion Destacada del turismo internacional","Medio Oriente","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2015","","53"
"Informacion Destacada del turismo internacional","Europa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2015","","451"
"Informacion Destacada del turismo internacional","Americas","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2015","","304"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2015","","418"
"Informacion Destacada del turismo internacional","Africa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2015","","33"
"Informacion Destacada del turismo internacional","Medio Oriente","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2015","","54"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Ocio,recreación,vacaciones","International Tourism Highlights (2012-2019)","2015","","53.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","VFR, salud,religión, otro","International Tourism Highlights (2012-2019)","2015","","27.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Negocios y profesional","International Tourism Highlights (2012-2019)","2015","","14.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","No especificado","International Tourism Highlights (2012-2019)","2015","","6.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Aire","International Tourism Highlights (2012-2019)","2015","","54.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Terrestre y tren","International Tourism Highlights (2012-2019)","2015","","41.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Agua","International Tourism Highlights (2012-2019)","2015","","5.0%"
"Prestadores de Servicios Turísticos - PST","Agencia de viajes","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","1669"
"Prestadores de Servicios Turísticos - PST","Arrendadores de vehiculos para turismo nacional e internacional","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","40"
"Prestadores de Servicios Turísticos - PST","Concesionarios de servicios turisticos en parque","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","1"
"Prestadores de Servicios Turísticos - PST","Empresa de tiempo compartido y multipropiedad","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","18"
"Prestadores de Servicios Turísticos - PST","Empresa de transporte terrestre automotor","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","92"
"Prestadores de Servicios Turísticos - PST","Empresas captadoras de ahorro para viajes y de servicios turisticos","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","17"
"Prestadores de Servicios Turísticos - PST","Establecimiento de alojamiento y hospedaje","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","810"
"Prestadores de Servicios Turísticos - PST","Establecimiento de alojamiento y hospedaje","Habitaciones","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","26121"
"Prestadores de Servicios Turísticos - PST","Establecimiento de alojamiento y hospedaje","Camas","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","40232"
"Prestadores de Servicios Turísticos - PST","Hotel","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","599"
"Prestadores de Servicios Turísticos - PST","Hotel","Habitaciones","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","22566"
"Prestadores de Servicios Turísticos - PST","Hotel","Camas","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","33007"
"Prestadores de Servicios Turísticos - PST","Establecimiento de gastronomia y similares","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","497"
"Prestadores de Servicios Turísticos - PST","Guia de turismo","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","131"
"Prestadores de Servicios Turísticos - PST","Oficina de representacion turistica","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","161"
"Prestadores de Servicios Turísticos - PST","Operadores profesionales de congresos, ferias y convenciones","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","216"
"Prestadores de Servicios Turísticos - PST","Parques temáticos","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","2"
"Prestadores de Servicios Turísticos - PST","Usuarios operadores, desarrolladores e industriales en zonas francas turísticas","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2016","","2"
"Airbnb & Homeaway","Barrios Unidos","Promedio mensual de propiedades","","","2016","","43.5"
"Airbnb & Homeaway","Bosa","Promedio mensual de propiedades","","","2016","","1.5"
"Airbnb & Homeaway","Candelaria","Promedio mensual de propiedades","","","2016","","59"
"Airbnb & Homeaway","Chapinero","Promedio mensual de propiedades","","","2016","","502"
"Airbnb & Homeaway","Engativá","Promedio mensual de propiedades","","","2016","","25.583333333333"
"Airbnb & Homeaway","Fontibón","Promedio mensual de propiedades","","","2016","","60.166666666667"
"Airbnb & Homeaway","Kennedy","Promedio mensual de propiedades","","","2016","","15.916666666667"
"Airbnb & Homeaway","Los Martires","Promedio mensual de propiedades","","","2016","","2.4"
"Airbnb & Homeaway","Puente Aranda","Promedio mensual de propiedades","","","2016","","5.4166666666667"
"Airbnb & Homeaway","Rafael Uribe Uribe","Promedio mensual de propiedades","","","2016","","2"
"Airbnb & Homeaway","San Cristobal","Promedio mensual de propiedades","","","2016","","2.6666666666667"
"Airbnb & Homeaway","Santa Fe","Promedio mensual de propiedades","","","2016","","105.08333333333"
"Airbnb & Homeaway","Suba","Promedio mensual de propiedades","","","2016","","112.83333333333"
"Airbnb & Homeaway","Teusaquillo","Promedio mensual de propiedades","","","2016","","128.16666666667"
"Airbnb & Homeaway","Usaquén","Promedio mensual de propiedades","","","2016","","252.5"
"Airbnb & Homeaway","Usme","Promedio mensual de propiedades","","","2016","","1"
"Tasa de ocupación Hotelera","Total anual","Porcentaje","","Asociación Hotelera y Tuística de Colombia- COTELCO, Sistema de Información Turística- SIH","2016","","55.5%"
"Tasa de ocupación Airbnb","Total anual","Porcentaje","","","2016","","39.4%"
"Generación de empleo turismo","Empleo Turismo Bogotá","Total","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2016","","269769.58333333"
"Generación de empleo turismo","Sectores directos","Agencias de viaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2016","","13589.583333333"
"Generación de empleo turismo","Sectores directos","Alojamiento y hospedaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2016","","15104.916666667"
"Generación de empleo turismo","Sectores conexos","Alimentos y bebidas","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2016","","155465.33333333"
"Generación de empleo turismo","Sectores conexos","Esparcimiento","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2016","","3049.4166666667"
"Generación de empleo turismo","Sectores conexos","Transporte aéreo","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2016","","12292.333333333"
"Generación de empleo turismo","Sectores conexos","Transporte terrestre","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2016","","70268"
"Generación de empleo turismo","Participación % ","Porcentaje","Empleo Turismo/ Turismo Bogota","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020","2016","","6.3%"
"Conectividad directa internacional","Ciudades","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2016","","45"
"Conectividad directa internacional","Aerolíneas","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2016","","32"
"Conectividad directa internacional","Vuelos","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2016","","3336"
"Conectividad directa internacional","Sillas","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2016","","501903"
"Conectividad directa internacional","Pasajeros","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2016","","4845637"
"Índice de Presión Turística","índice","índice","índice","Observatorio de Turismo","2016","","1.2"
"Índice de Competitividad Turística Regional de Colombia-ICTRC","índice","índice","índice","Asociación Hotelera y Tuística de Colombia- COTELCO, ICTRC","2016","","6.82"
"Índice de Competitividad Turística Regional de Colombia-ICTRC","Criterio","Estrategia de mercado","índice 0-10","Asociación Hotelera y Tuística de Colombia- COTELCO, ICTRC","2016","","8.38"
"Índice de Competitividad Turística Regional de Colombia-ICTRC","Criterio","Infraestructura","índice 0-10","Asociación Hotelera y Tuística de Colombia- COTELCO, ICTRC","2016","","8.84"
"Índice de Competitividad Turística Regional de Colombia-ICTRC","Criterio","Económico","índice 0-10","Asociación Hotelera y Tuística de Colombia- COTELCO, ICTRC","2016","","8.55"
"Índice de Competitividad Turística Regional de Colombia-ICTRC","Criterio","Cultural","índice 0-10","Asociación Hotelera y Tuística de Colombia- COTELCO, ICTRC","2016","","6.86"
"Índice de Competitividad Turística Regional de Colombia-ICTRC","Criterio","Social","índice 0-10","Asociación Hotelera y Tuística de Colombia- COTELCO, ICTRC","2016","","6.4"
"Índice de Competitividad Turística Regional de Colombia-ICTRC","Criterio","Empresarial","índice 0-10","Asociación Hotelera y Tuística de Colombia- COTELCO, ICTRC","2016","","6.84"
"Índice de Competitividad Turística Regional de Colombia-ICTRC","Criterio","Ambiental","índice 0-10","Asociación Hotelera y Tuística de Colombia- COTELCO, ICTRC","2016","","5.06"
"Índice de Competitividad Turística Regional de Colombia-ICTRC","Criterio","Gestión de destino","índice 0-10","Asociación Hotelera y Tuística de Colombia- COTELCO, ICTRC","2016","","5.18"
"PIB","Participación % ","Porcentaje","Subsector: Alojamiento y servicio de comida/ PIB Bogotá","Departamento Administrativo Nacional de Estadística- DANE, Cuentas Nacionales","2016","","2.8%"
"PIB","Participación % ","Porcentaje","Sector: Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogotá","Departamento Administrativo Nacional de Estadística- DANE, Cuentas Nacionales","2016","","19.3%"
"Informacion Destacada del turismo internacional","Mundo Entero","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2016","","1235"
"Informacion Destacada del turismo internacional","Mundo Entero","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Trillones de Dólares ","International Tourism Highlights (2012-2019)","2016","","1.4"
"Informacion Destacada del turismo internacional","Mundo Entero","Transporte Internacional de Pasajeros","Millones de Personas","International Tourism Highlights (2012-2019)","2016","","216"
"Informacion Destacada del turismo internacional","Mundo Entero","Ingresos por turismo internacional","Billones de Dólares ","International Tourism Highlights (2012-2019)","2016","","1220"
"Informacion Destacada del turismo internacional","Europa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2016","","616"
"Informacion Destacada del turismo internacional","Americas","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2016","","199"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2016","","308"
"Informacion Destacada del turismo internacional","Africa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2016","","58"
"Informacion Destacada del turismo internacional","Medio Oriente","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2016","","54"
"Informacion Destacada del turismo internacional","Europa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2016","","447"
"Informacion Destacada del turismo internacional","Americas","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2016","","313"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2016","","367"
"Informacion Destacada del turismo internacional","Africa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2016","","35"
"Informacion Destacada del turismo internacional","Medio Oriente","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2016","","58"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Ocio,recreación,vacaciones","International Tourism Highlights (2012-2019)","2016","","53.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","VFR, salud,religión, otro","International Tourism Highlights (2012-2019)","2016","","27.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Negocios y profesional","International Tourism Highlights (2012-2019)","2016","","13.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","No especificado","International Tourism Highlights (2012-2019)","2016","","6.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Aire","International Tourism Highlights (2012-2019)","2016","","55.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Terrestre y tren","International Tourism Highlights (2012-2019)","2016","","41.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Agua","International Tourism Highlights (2012-2019)","2016","","4.0%"
"Prestadores de Servicios Turísticos - PST","Agencia de viajes","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","1470"
"Prestadores de Servicios Turísticos - PST","Arrendadores de vehiculos para turismo nacional e internacional","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","39"
"Prestadores de Servicios Turísticos - PST","Concesionarios de servicios turisticos en parque","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","2"
"Prestadores de Servicios Turísticos - PST","Empresa de tiempo compartido y multipropiedad","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","12"
"Prestadores de Servicios Turísticos - PST","Empresa de transporte terrestre automotor","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","75"
"Prestadores de Servicios Turísticos - PST","Empresas captadoras de ahorro para viajes y de servicios turisticos","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","19"
"Prestadores de Servicios Turísticos - PST","Establecimiento de alojamiento y hospedaje","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","808"
"Prestadores de Servicios Turísticos - PST","Establecimiento de alojamiento y hospedaje","Habitaciones","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","26441"
"Prestadores de Servicios Turísticos - PST","Establecimiento de alojamiento y hospedaje","Camas","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","40794"
"Prestadores de Servicios Turísticos - PST","Hotel","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","594"
"Prestadores de Servicios Turísticos - PST","Hotel","Habitaciones","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","22726"
"Prestadores de Servicios Turísticos - PST","Hotel","Camas","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","33257"
"Prestadores de Servicios Turísticos - PST","Establecimiento de gastronomia y similares","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","561"
"Prestadores de Servicios Turísticos - PST","Guia de turismo","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","160"
"Prestadores de Servicios Turísticos - PST","Oficina de representacion turistica","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","160"
"Prestadores de Servicios Turísticos - PST","Operadores profesionales de congresos, ferias y convenciones","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","174"
"Prestadores de Servicios Turísticos - PST","Parques temáticos","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","1"
"Prestadores de Servicios Turísticos - PST","Usuarios operadores, desarrolladores e industriales en zonas francas turísticas","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","1"
"Prestadores de Servicios Turísticos - PST","Intercambio vacacional","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2017","","1"
"Airbnb & Homeaway","Barrios Unidos","Promedio mensual de propiedades","","","2017","","92.833333333333"
"Airbnb & Homeaway","Bosa","Promedio mensual de propiedades","","","2017","","1.5"
"Airbnb & Homeaway","Candelaria","Promedio mensual de propiedades","","","2017","","104.83333333333"
"Airbnb & Homeaway","Chapinero","Promedio mensual de propiedades","","","2017","","921.25"
"Airbnb & Homeaway","Engativá","Promedio mensual de propiedades","","","2017","","69.75"
"Airbnb & Homeaway","Fontibón","Promedio mensual de propiedades","","","2017","","117.91666666667"
"Airbnb & Homeaway","Kennedy","Promedio mensual de propiedades","","","2017","","33.416666666667"
"Airbnb & Homeaway","Los Martires","Promedio mensual de propiedades","","","2017","","11.333333333333"
"Airbnb & Homeaway","Puente Aranda","Promedio mensual de propiedades","","","2017","","11.833333333333"
"Airbnb & Homeaway","Rafael Uribe Uribe","Promedio mensual de propiedades","","","2017","","4.8333333333333"
"Airbnb & Homeaway","San Cristobal","Promedio mensual de propiedades","","","2017","","2.8181818181818"
"Airbnb & Homeaway","Santa Fe","Promedio mensual de propiedades","","","2017","","198.08333333333"
"Airbnb & Homeaway","Suba","Promedio mensual de propiedades","","","2017","","225.08333333333"
"Airbnb & Homeaway","Teusaquillo","Promedio mensual de propiedades","","","2017","","287.66666666667"
"Airbnb & Homeaway","Usaquén","Promedio mensual de propiedades","","","2017","","516.16666666667"
"Airbnb & Homeaway","Usme","Promedio mensual de propiedades","","","2017","","1.2"
"Tasa de ocupación Hotelera","Total anual","Porcentaje","","Asociación Hotelera y Tuística de Colombia- COTELCO, Sistema de Información Turística- SIH","2017","","58.3%"
"Tasa de ocupación Airbnb","Total anual","Porcentaje","","","2017","","44.0%"
"Generación de empleo turismo","Empleo Turismo Bogotá","Total","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2017","","274858.58333333"
"Generación de empleo turismo","Sectores directos","Agencias de viaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2017","","12576.75"
"Generación de empleo turismo","Sectores directos","Alojamiento y hospedaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2017","","16499.916666667"
