"TEMA","SUBTEMA","VARIABLE","CLASE","Fuente","AÑO","Mes","Valor"
"Informacion Destacada del turismo internacional","Europa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2011","","504"
"Informacion Destacada del turismo internacional","Americas","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2011","","156.6"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2011","","217"
"Informacion Destacada del turismo internacional","Africa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2011","","50.2"
"Informacion Destacada del turismo internacional","Medio Oriente","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2011","","55.4"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Ocio,recreación,vacaciones","International Tourism Highlights (2012-2019)","2011","","51.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","VFR, salud,religión, otro","International Tourism Highlights (2012-2019)","2011","","27.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Negocios y profesional","International Tourism Highlights (2012-2019)","2011","","15.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","No especificado","International Tourism Highlights (2012-2019)","2011","","7.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Aire","International Tourism Highlights (2012-2019)","2011","","51.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Terrestre y tren","International Tourism Highlights (2012-2019)","2011","","43.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Agua","International Tourism Highlights (2012-2019)","2011","","6.0%"
"Tasa de ocupación Hotelera","Total anual","Porcentaje","","Asociación Hotelera y Tuística de Colombia- COTELCO, Sistema de Información Turística- SIH","2012","","58.6%"
"Generación de empleo turismo","Empleo Turismo Bogotá","Total","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2012","","278016.5"
"Generación de empleo turismo","Sectores directos","Agencias de viaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2012","","10296.916666667"
"Generación de empleo turismo","Sectores directos","Alojamiento y hospedaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2012","","13584.666666667"
"Generación de empleo turismo","Sectores conexos","Alimentos y bebidas","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2012","","152179"
"Generación de empleo turismo","Sectores conexos","Esparcimiento","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2012","","1994.9090909091"
"Generación de empleo turismo","Sectores conexos","Transporte aéreo","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2012","","11046.666666667"
"Generación de empleo turismo","Sectores conexos","Transporte terrestre","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2012","","89080.583333333"
"Generación de empleo turismo","Participación % ","Porcentaje","Empleo Turismo/ Turismo Bogota","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020","2012","","7.0%"
"Conectividad directa internacional","Ciudades","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2012","","33"
"Conectividad directa internacional","Aerolíneas","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2012","","27"
"Conectividad directa internacional","Vuelos","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2012","","2625"
"Conectividad directa internacional","Sillas","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2012","","354515"
"Conectividad directa internacional","Pasajeros","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2012","","3303187"
"Índice de Presión Turística","índice","índice","índice","Observatorio de Turismo","2012","","1.2"
